Id,Gender,GivenName,MiddleInitial,Surname,StreetAddress,City,State,zip_code,EmailAddress,TelephoneNumber,MothersMaiden,Birthday,Country
1,female,Lynn,S,Kuhl,1690 Mill Street,Greenville,SC,29615,Lynn.S.Kuhl@mailinator.com,864-266-3412,Neves,1983/03/20,US
2,female,Lola,A,Rivera,783 Elk Avenue,Concord,MI,49237,Lola.A.Rivera@trashymail.com,517-524-7746,Chang,1950/04/09,US
3,female,Tracy,E,Rogers,1748 Henery Street,Andover,KS,67002,Tracy.E.Rogers@pookmail.com,316-733-8651,Adams,1983/01/07,US
4,male,Aaron,S,Gephart,223 Penn Street,Flat River,MO,63601,Aaron.S.Gephart@mailinator.com,573-327-4121,Collins,1960/08/29,US
5,female,Lillian,J,Anderson,917 Tanglewood Road,Jackson,MS,39201,Lillian.J.Anderson@spambob.com,662-809-3796,Bell,1980/12/29,US
6,female,Imogene,T,Phillips,4898 Gerald L. Bates Drive,Brighton,MA,02135,Imogene.T.Phillips@spambob.com,617-779-0470,Davis,1982/10/08,US
7,male,Robert,L,Rowe,844 Kembery Drive,Chicago,IL,60605,Robert.L.Rowe@trashymail.com,630-550-1134,Gusman,1973/07/25,US
8,male,John,J,Maginnis,4275 Masonic Drive,Helena,MT,59601,John.J.Maginnis@pookmail.com,406-529-9922,Wilkerson,1954/09/23,US
9,male,Edward,B,Crockett,4608 Pooh Bear Lane,Blacksburg,SC,29702,Edward.B.Crockett@trashymail.com,864-839-0066,Ruiz,1940/07/14,US
10,male,Thomas,R,Pomeroy,4426 Coal Road,Harrisburg,PA,17109,Thomas.R.Pomeroy@mailinator.com,570-694-1959,Robbins,1949/03/05,US
11,male,Vaughn,R,Frawley,1958 Abner Road,Appleton,WI,54913,Vaughn.R.Frawley@spambob.com,715-401-3263,Wood,1958/11/19,US
12,female,Loretta,R,Gonzalez,638 Stanley Avenue,Garden City,NY,11530,Loretta.R.Gonzalez@mailinator.com,516-547-8599,Byrnes,1976/03/07,US
13,male,Richard,T,Baggett,4602 Holly Street,Charlotte,NC,28202,Richard.T.Baggett@trashymail.com,704-979-0789,Turner,1968/06/18,US
14,female,Linda,L,Sherrod,296 Neville Street,Sunman,IN,47041,Linda.L.Sherrod@spambob.com,812-623-0915,Ellison,1945/03/06,US
15,female,Kimberly,K,Hathcock,607 Ocello Street,San Diego,CA,92121,Kimberly.K.Hathcock@mailinator.com,619-873-5770,Hare,1957/06/11,US
16,male,Jarrett,B,Kirkpatrick,308 Ridenour Street,Miramar,FL,33025,Jarrett.B.Kirkpatrick@trashymail.com,786-246-3370,Wade,1972/10/04,US
17,male,Michael,J,Cole,4073 Chapmans Lane,Albuquerque,NM,87110,Michael.J.Cole@mailinator.com,505-883-6589,Wright,1966/01/26,US
18,female,Kathryn,E,Ruby,1309 Stanley Avenue,Bellerose,NY,11426,Kathryn.E.Ruby@mailinator.com,516-519-1139,Ducan,1946/04/10,US
19,female,Marjory,D,Tyler,4279 Concord Street,Charlotte,NC,28209,Marjory.D.Tyler@mailinator.com,704-521-6455,Eugene,1950/10/21,US
20,male,Frank,D,Canon,622 Norma Lane,Marksville,LA,71351,Frank.D.Canon@mailinator.com,318-597-2327,Evans,1970/04/01,US
21,female,Nichole,G,Roberts,2664 Traction Street,Inman,SC,29349,Nichole.G.Roberts@trashymail.com,864-472-6160,Powell,1943/09/10,US
22,female,Kerri,M,Love,837 Horseshoe Lane,Philadelphia,PA,19108,Kerri.M.Love@trashymail.com,484-451-0200,Mcquaid,1947/02/19,US
23,female,Kimberly,K,Jones,2498 Layman Avenue,Elizabethtown,NC,28337,Kimberly.K.Jones@trashymail.com,910-872-0156,Mcbride,1951/04/12,US
24,male,Duane,J,Elsea,317 Bobcat Drive,Detroit,MI,48219,Duane.J.Elsea@dodgit.com,248-235-0011,Hackbarth,1955/06/20,US
25,male,Patrick,T,Cordon,3863 Dale Avenue,Seattle,WA,98119,Patrick.T.Cordon@mailinator.com,253-750-2667,Barlow,1974/04/11,US
26,female,Kyla,T,Jones,4086 Joanne Lane,Worcester,MA,01610,Kyla.T.Jones@pookmail.com,978-491-8730,Tryon,1960/09/15,US
27,male,Allen,M,Howard,2456 Old Dear Lane,West Nyack,NY,10994,Allen.M.Howard@pookmail.com,845-825-5472,Cunningham,1963/05/31,US
